部門コード,部門略称,得意先コード,得意先略称,所属会社コード,所属会社略称,発地方面１コード,発地方面１名称,発地方面２コード,発地方面２名称,発地コード,発地略称,着地方面１コード,着地方面１名称,着地方面２コード,着地方面２名称,着地コード,着地略称,品名コード,品名略称,単位コード,単位略称,車種コード,車種略称,適用日FROM,適用日TO,請求単価金額区分,請求単価金額区分名称,請求単価,請求基本料,請求付帯料金１,請求付帯料金２,請求付帯料金３,請求付帯料金４,請求付帯料金５,支払単価金額区分,支払単価金額区分名称,支払単価,支払基本料,支払付帯料金１,支払付帯料金２,支払付帯料金３,支払付帯料金４,支払付帯料金５,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0094","","00","","000","","20000101","99999999","1","金額","0","56400","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0095","","00","","000","","20000101","99999999","1","金額","0","42600","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0096","","00","","000","","20000101","99999999","1","金額","0","33400","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0097","","00","","000","","20000101","99999999","1","金額","0","35200","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0098","","00","","000","","20000101","99999999","1","金額","0","53600","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0099","","00","","000","","20000101","99999999","1","金額","0","27300","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0100","","00","","000","","20000101","99999999","1","金額","0","53600","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0130","","00","","000","","20000101","99999999","1","金額","0","29800","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00052     0100000","東曹産業","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0200","メタノール","00","","000","","20000101","99999999","1","金額","0","24300","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0071","","00","","000","","20000101","99999999","1","金額","0","38800","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0007001","","0000","","0000","","000000000000","","0079","","00","","000","","20000101","99999999","1","金額","0","32000","0","0","0","0","0","0","単価","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20180718","230157","SYSTEM"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0010616","南品川換気所","0000","","0000","","000000000000","","0051","ソーダ","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181121","111041","000003","20181121","111041","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0020126","飯田","0000","","0000","","000000000000","","0051","ソーダ","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181108","105303","000003","20181108","105303","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0010496","三益半導体","0000","","0000","","000000000000","","0053","ハイポ","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181122","101331","000003","20181122","101331","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0020107","子安台換気所","0000","","0000","","000000000000","","0051","ソーダ","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181005","113429","000003","20181005","113429","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0000501","米沢浜理薬品工業","0000","","0000","","000000000000","","0051","ソーダ","00","","000","","20000101","99999999","1","金額","0","0","0","5680","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181219","153007","000003","20181219","153007","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0002322","吉田化学工業　茨城工","0000","","0000","","000000000000","","0051","ソーダ","00","","000","","20000101","99999999","1","金額","0","0","0","4040","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20181219","155336","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0002322","吉田化学工業　茨城工","0000","","0000","","000000000000","","0053","ハイポ","00","","000","","20000101","99999999","1","金額","0","0","0","1470","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180718","230157","SYSTEM","20181210","104719","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0002322","吉田化学工業　茨城工","0000","","0000","","000000000000","","0056","ｱｯｼｭｸﾘｰﾝ","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181101","161236","000003","20181101","161236","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0002322","吉田化学工業　茨城工","0000","","0000","","000000000000","","0059","炭酸カリ液","00","","000","","20000101","99999999","1","金額","0","0","0","6130","0","0","0","1","金額","0","0","0","0","0","0","0","0","20180927","113958","000003","20181219","153555","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0002322","吉田化学工業　茨城工","0000","","0000","","000000000000","","0058","炭酸カリウム","00","","000","","20000101","99999999","1","金額","0","0","0","5970","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181210","153100","000003","20181219","142559","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0005209","モリ工業","0000","","0000","","000000000000","","0051","ソーダ","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181005","163430","000003","20181005","163430","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0005188","吉野電化工業第7","0000","","0000","","000000000000","","0051","ソーダ","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181206","143014","000003","20181206","143014","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0005183","三益半導体","0000","","0000","","000000000000","","0051","ソーダ","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181005","163811","000003","20181005","163811","000003"
"01","東京営業所","00051     0100000","吉田化学","00000000000100000","","0000","","0000","","0005183","三益半導体","0000","","0000","","000000000000","","0053","ハイポ","00","","000","","20000101","99999999","1","金額","0","0","0","0","0","0","0","1","金額","0","0","0","0","0","0","0","0","20181009","151454","000003","20181009","151454","000003"
